date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:00	12669/12669	---MC-	403	error ('Forbidden')	text/html	date:Wed,%2025%20Sep%202024%2013:55:41%20GMT	https://abidev2022.abinit.org/robots.txt		(from )
13:56:01	119495/119495	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20Sep%202024%2013:55:42%20GMT	https://abidev2022.abinit.org/	abidev2022.abinit.org/index.html	(from )
13:56:02	115230/115230	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221c21e-5d9e2c8dcda4c%22	https://abidev2022.abinit.org/images/logos/favicon.ico	abidev2022.abinit.org/images/logos/favicon.ico	(from https://abidev2022.abinit.org/)
13:56:02	0/0	---M--	303	error ('See%20other')	text/html	date:Wed,%2025%20Sep%202024%2013:55:44%20GMT	https://abidev2022.abinit.org/?format=amp	abidev2022.abinit.org/index22c8.html	(from https://abidev2022.abinit.org/)
13:56:02	163827/163827	---M-Z	200	added ('OK')	text/css	etag:%2227ff3-5d9c886854095-gzip%22	https://abidev2022.abinit.org/templates/shaper_helixultimate/css/bootstrap.min.css	abidev2022.abinit.org/templates/shaper_helixultimate/css/bootstrap.min.css	(from https://abidev2022.abinit.org/)
13:56:03	2180/2180	---M-Z	200	added ('OK')	text/css	etag:%22884-5d9c886833cf5-gzip%22	https://abidev2022.abinit.org/plugins/system/helixultimate/assets/css/system-j3.min.css	abidev2022.abinit.org/plugins/system/helixultimate/assets/css/system-j3.min.css	(from https://abidev2022.abinit.org/)
13:56:04	312319/312319	---MCZ	200	added ('OK')	text/css	date:Wed,%2025%20Sep%202024%2013:55:45%20GMT	https://abidev2022.abinit.org/?quix-asset=/css/quix-core.css&ver=4.1.9	abidev2022.abinit.org/index0fda.html	(from https://abidev2022.abinit.org/)
13:56:04	59291/59291	---M-Z	200	added ('OK')	text/css	etag:%22e79b-5d9c8868530f5-gzip%22	https://abidev2022.abinit.org/templates/shaper_helixultimate/css/font-awesome.min.css	abidev2022.abinit.org/templates/shaper_helixultimate/css/font-awesome.min.css	(from https://abidev2022.abinit.org/)
13:56:05	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-5d9c886854095-gzip%22	https://abidev2022.abinit.org/templates/shaper_helixultimate/css/v4-shims.min.css	abidev2022.abinit.org/templates/shaper_helixultimate/css/v4-shims.min.css	(from https://abidev2022.abinit.org/)
13:56:06	75603/75603	---M-Z	200	added ('OK')	text/css	etag:%2212753-6007310486960-gzip%22	https://abidev2022.abinit.org/templates/shaper_helixultimate/css/template.css	abidev2022.abinit.org/templates/shaper_helixultimate/css/template.css	(from https://abidev2022.abinit.org/)
13:56:07	4025/4025	---M-Z	200	added ('OK')	text/css	etag:%22fb9-600731048b780-gzip%22	https://abidev2022.abinit.org/templates/shaper_helixultimate/css/presets/default.css	abidev2022.abinit.org/templates/shaper_helixultimate/css/presets/default.css	(from https://abidev2022.abinit.org/)
13:56:09	409245/409245	---M--	200	added ('OK')	image/jpeg	etag:%2263e9d-5da1e714cdbba%22	https://abidev2022.abinit.org/images/images/abinit_configure.jpg	abidev2022.abinit.org/images/images/abinit_configure.jpg	(from https://abidev2022.abinit.org/)
13:56:10	119591/119591	---M--	200	added ('OK')	image/jpeg	etag:%221d327-5d9e304d1ad07%22	https://abidev2022.abinit.org/images/images/abidev22_home.jpg	abidev2022.abinit.org/images/images/abidev22_home.jpg	(from https://abidev2022.abinit.org/)
13:56:12	198228/198228	---M--	200	added ('OK')	font/ttf	etag:%2230654-5d9e2c8db828c%22	https://abidev2022.abinit.org/images/fonts/UbuntuMono-BoldItalic.ttf	abidev2022.abinit.org/images/fonts/UbuntuMono-BoldItalic.ttf	(from https://abidev2022.abinit.org/)
13:56:12	193384/193384	---M--	200	added ('OK')	font/ttf	etag:%222f368-5d9e2c8dbb16c%22	https://abidev2022.abinit.org/images/fonts/UbuntuMono-Italic.ttf	abidev2022.abinit.org/images/fonts/UbuntuMono-Italic.ttf	(from https://abidev2022.abinit.org/)
